seed,window_s,f1,precision,recall,auc_roc
0,30,0.8034517583544424,0.8715818251282088,0.7431998322714688,0.8288136167389012
1,30,0.8057165227920509,0.8661200348341366,0.7443876500272771,0.8258907276916627
2,30,0.8221257742011978,0.8485751287692324,0.7707151198399198,0.8318323443722191
3,30,0.7755106193655901,0.8126368160150867,0.773018558644625,0.847236657207833
4,30,0.796409615734348,0.8323362535772804,0.7692288858448441,0.8189295431795652
0,60,0.8391054596208835,0.9098665358937809,0.7891078975428082,0.8869487813327993
1,60,0.8537311420295097,0.9037514909759787,0.8251496372262743,0.8879058490690175
2,60,0.8698787758655372,0.8559965579793796,0.7960256319613975,0.8785676972970713
3,60,0.8326237387915274,0.879436952661425,0.7903175311859837,0.8961590254235602
4,60,0.8304721456452087,0.8976126298518884,0.7873166113333283,0.8837232690563804
0,120,0.8400551565060921,0.8707623087400785,0.7867479621488549,0.8484549432075009
1,120,0.8060811477665859,0.85552282366239,0.7648499358254245,0.8517657335845371
2,120,0.7983122385553326,0.8618097956325574,0.7645645666027782,0.8751747403753392
3,120,0.8575368922256333,0.8429351329888236,0.7542523327690165,0.83536557998163
4,120,0.8081858597207302,0.8663121000718068,0.7841170724177646,0.8427091616225639
0,300,0.746917071198644,0.757054219405227,0.6967466815891018,0.7793758558814045
1,300,0.7494112114526785,0.7824627844366483,0.6981147489149488,0.7724227160864338
2,300,0.7306590950921802,0.842584942240566,0.6742515483745193,0.7790321442154536
3,300,0.7967382705664263,0.8581013433848081,0.6765686674234931,0.7863175104321197
4,300,0.7668311110188102,0.8345739528881119,0.6802628584314352,0.787547221540579
