stage_name,node_seq,posture_value_goal_node,posture_value_exfiltrate,posture_value_Launch_Agent,posture_value_Token_Impersonation,prediction_time time,no_of_attacker_reach
Stage 2,"Access_Server,Query_SMF",0.7182,0.8841,0.8731,0.8142,0.003030061721801758,36
Stage 3,"Connect_NEF,Connect_UPF,Create_GTP,Connect_UE",0.7372,0.8683,0.8929,0.871,0.003999948501586914,36
Stage 2,"Logon_PB,Bypass_Authentication,Access_Server,Query_SMF,Connect_NRF",0.7348,0.8814,0.8731,0.8751,0.003998756408691406,36
Stage 3,goal_node,0.7528,0.6686,0.6814,0.7504,0.003999233245849609,37
Stage 3,Connect_PCF,0.7298,0.8774,0.8909,0.8342,0.004000186920166016,37
Stage 2,Deploy_malware,0.589,0.8879,0.8857,0.3593,0.004999399185180664,37
Stage 2,Config_PB,0.5448,0.8879,0.8892,0.2122,0.003998994827270508,37
Stage 3,"Connect_NEF,Connect_UPF,Connect_C2,Rule_based_MPB",0.3709,0.2056,0.893,0.8711,0.003000974655151367,37
Stage 3,"Create_GTP,Connect_UE",0.7345,0.8743,0.892,0.8527,0.003969669342041016,37
Stage 1,SystemUseNotPB,0.7295,0.8877,0.8792,0.8343,0.004001617431640625,37
Stage 2,Connect_NRF,0.7044,0.8815,0.8865,0.7519,0.00500035285949707,37
Stage 3,goal_node,0.7529,0.6688,0.6815,0.7505,0.004001140594482422,38
Stage 3,Connect_UPF,0.7275,0.8683,0.8914,0.8417,0.0039997100830078125,38
Stage 3,Connect_C2,0.4711,0.3864,0.8932,0.874,0.004999876022338867,38
Stage 3,"Exfiltrating_data,goal_node",0.2564,0.6689,0.9284,0.8928,0.0049991607666015625,39
Stage 3,"Query_SMF,Connect_NRF,Connect_SMF,Connect_UPF,Create_GTP",0.7367,0.8683,0.8805,0.8921,0.003996372222900391,39
Stage 3,Connect_UPF,0.7275,0.8684,0.8915,0.8417,0.00400090217590332,39
Stage 1,Remote_access_PB,0.735,0.8882,0.8827,0.8455,0.003999471664428711,39
Stage 2,Portable_Execution,0.4602,0.8894,0.3633,0.8716,0.004000186920166016,39
Stage 2,Config_PB,0.5451,0.8879,0.8893,0.213,0.0039997100830078125,39
Stage 3,goal_node,0.7529,0.6687,0.6817,0.7507,0.003999948501586914,40
Stage 3,Launch_Agent,0.2602,0.8898,0.8937,0.8786,0.0039980411529541016,40
Stage 3,"Exfiltrating_data,goal_node",0.2563,0.6688,0.9284,0.8929,0.003998756408691406,41
Stage 1,"Authentication,SystemUseNotPB",0.7295,0.8876,0.8793,0.8345,0.004000663757324219,41
Stage 3,goal_node,0.7528,0.6686,0.6819,0.7509,0.003993034362792969,42
Stage 3,"Create_GTP,Connect_UE",0.7345,0.8743,0.8921,0.8529,0.003998756408691406,42
Stage 3,"Connect_SMF,Connect_UPF,Create_GTP,Connect_UE",0.7122,0.8684,0.889,0.7955,0.004000663757324219,42
Stage 1,Access_Server,0.7198,0.8867,0.8733,0.8148,0.003999948501586914,42
Stage 1,Access_Server,0.7198,0.8867,0.8734,0.8148,0.003999948501586914,42
Stage 3,Connect_UE,0.7388,0.878,0.8925,0.8596,0.004999637603759766,42
Stage 2,"SystemUseNotPB,Access_Server,Query_SMF,Connect_NRF",0.735,0.8815,0.8734,0.8756,0.0040013790130615234,42
Stage 2,Portable_Execution,0.4611,0.8895,0.3643,0.8719,0.004000425338745117,42
Stage 3,"Agent_based_MPB,Launch_Agent,goal_node",0.2613,0.9253,0.0619,0.9166,0.003998756408691406,43
Stage 3,Connect_PCF,0.7299,0.8775,0.8911,0.8347,0.0049991607666015625,43
Stage 1,Authentication,0.7349,0.8882,0.8826,0.8453,0.004997968673706055,43
Stage 1,Authentication,0.7349,0.8882,0.8826,0.8454,0.0039997100830078125,43
Stage 3,goal_node,0.7529,0.6689,0.6818,0.7511,0.004000425338745117,44
Stage 2,"Authentication,SystemUseNotPB,Access_Server,Query_SMF,Connect_NRF",0.735,0.8816,0.8735,0.8757,0.003999233245849609,44
Stage 2,Config_PB,0.5453,0.8881,0.8894,0.2138,0.004003047943115234,44
Stage 1,SystemUseNotPB,0.7297,0.8878,0.8795,0.8348,0.003999948501586914,44
Stage 3,"SystemUseNotPB,Access_Server,Query_SMF,Connect_NRF,Connect_SMF,Connect_UPF",0.728,0.8685,0.8735,0.8759,0.0029997825622558594,44
Stage 3,Connect_C2,0.4713,0.3872,0.8933,0.8744,0.004996776580810547,44
Stage 2,Connect_NRF,0.7046,0.8817,0.8867,0.7525,0.0039997100830078125,44
Stage 3,Rule_based_MPB,0.3711,0.2065,0.8935,0.8777,0.004000425338745117,44
Stage 2,Portable_Execution,0.4614,0.8896,0.3651,0.8721,0.004998922348022461,44
Stage 3,Launch_Agent,0.2605,0.8899,0.8937,0.879,0.004999637603759766,44
Stage 3,"Token_Impersonation,goal_node",0.4798,0.8578,0.8953,0.7513,0.0039997100830078125,45
Stage 3,"Connect_UPF,Create_GTP",0.7277,0.8686,0.8915,0.842,0.003999471664428711,45
Stage 3,Connect_C2,0.4722,0.3886,0.8933,0.8744,0.003999948501586914,45
Stage 2,Token_Impersonation,0.4795,0.8878,0.8911,0.8818,0.004000425338745117,45
Stage 1,Bypass_Authentication,0.7299,0.8879,0.8795,0.8347,0.0040018558502197266,45
Stage 2,"Portable_Execution,Agent_based_MPB",0.3737,0.8897,0.2032,0.872,0.004000186920166016,45
Stage 3,Launch_Agent,0.2611,0.89,0.8937,0.8789,0.005001068115234375,45
Stage 1,SystemUseNotPB,0.73,0.8879,0.8795,0.8348,0.003999948501586914,45
Stage 3,Connect_PCF,0.7303,0.8778,0.8911,0.8349,0.004999399185180664,45
Stage 3,"Connect_PCF,Connect_UPF,Create_GTP",0.7286,0.8688,0.8916,0.844,0.004999876022338867,45
Stage 2,Config_PB,0.5456,0.8883,0.8894,0.2146,0.004000186920166016,45
Stage 3,"Agent_based_MPB,Launch_Agent,goal_node",0.2622,0.9254,0.0621,0.9166,0.004000663757324219,46
Stage 2,Portable_Execution,0.4628,0.8897,0.3664,0.8721,0.003999948501586914,46
Stage 3,"Rule_based_MPB,Exfiltrating_data,goal_node",0.2563,0.0618,0.9283,0.8916,0.00400233268737793,47
Stage 3,Connect_C2,0.4725,0.3893,0.8932,0.8744,0.004001140594482422,47
Stage 3,Connect_UPF,0.7279,0.8688,0.8915,0.8421,0.003999471664428711,47
Stage 3,Launch_Agent,0.2615,0.89,0.8936,0.879,0.004000186920166016,47
Stage 3,"Launch_Agent,goal_node",0.2621,0.9255,0.6818,0.918,0.0039997100830078125,48
Stage 3,"Launch_Agent,goal_node",0.262,0.9255,0.6815,0.918,0.003998994827270508,49
Stage 3,"Create_GTP,Connect_UE",0.7349,0.8748,0.8918,0.8532,0.004001617431640625,49
Stage 3,goal_node,0.753,0.6692,0.6813,0.7513,0.003999948501586914,50
Stage 3,"Query_SMF,Connect_NRF,Connect_SMF,Connect_UPF,Create_GTP",0.7372,0.8689,0.8805,0.8926,0.003969669342041016,50
Stage 3,Connect_NEF,0.7392,0.8771,0.8924,0.8633,0.004999637603759766,50
Stage 3,"Launch_Agent,goal_node",0.2618,0.9256,0.6814,0.9181,0.003999948501586914,51
Stage 3,goal_node,0.7529,0.6695,0.6812,0.7515,0.004030704498291016,52
Stage 3,goal_node,0.7529,0.6696,0.6813,0.7516,0.0039997100830078125,53
Stage 2,Query_SMF,0.7293,0.8845,0.8803,0.8386,0.004029512405395508,53
Stage 3,"Connect_C2,Rule_based_MPB",0.3714,0.2071,0.893,0.8746,0.00399327278137207,53
Stage 3,goal_node,0.7528,0.6697,0.6814,0.7517,0.004000425338745117,54
Stage 2,"Authentication,SystemUseNotPB,Access_Server,Query_SMF",0.7186,0.8846,0.8734,0.8153,0.004000425338745117,54
Stage 2,Config_PB,0.5458,0.8884,0.8891,0.2153,0.004000425338745117,54
Stage 2,Connect_NRF,0.7046,0.882,0.8865,0.7527,0.004000425338745117,54
Stage 1,Access_Server,0.7201,0.8872,0.8734,0.8155,0.004000663757324219,54
Stage 3,Connect_UPF,0.7277,0.8691,0.8913,0.8423,0.004999399185180664,54
Stage 3,"Connect_SMF,Connect_UPF,Create_GTP,Connect_UE",0.7125,0.8691,0.8888,0.796,0.0050067901611328125,54
Stage 1,"Authentication,SystemUseNotPB",0.7299,0.8881,0.8794,0.8353,0.004001140594482422,54
Stage 3,"Access_Server,Query_SMF,Connect_NRF,Connect_PCF,Connect_UPF,Create_GTP,Connect_UE",0.7284,0.8691,0.8735,0.8761,0.0029997825622558594,54
Stage 3,Connect_C2,0.473,0.3904,0.8931,0.8748,0.005000591278076172,54
Stage 2,Query_SMF,0.7295,0.8847,0.8805,0.8389,0.004998445510864258,54
Stage 3,"Create_GTP,Connect_UE",0.7349,0.8751,0.8919,0.8535,0.004000186920166016,54
Stage 1,"Input_Credentials,Authentication,SystemUseNotPB",0.73,0.8882,0.8795,0.8354,0.004000186920166016,54
Stage 3,Launch_Agent,0.2615,0.8903,0.8935,0.8793,0.0050008296966552734,54
Stage 3,"Query_SMF,Connect_NRF,Connect_NEF,Connect_UPF,Create_GTP,Connect_UE",0.7373,0.8693,0.8806,0.8927,0.003999948501586914,54
Stage 2,Query_SMF,0.7297,0.8847,0.8804,0.839,0.004000425338745117,54
Stage 2,Query_SMF,0.7297,0.8848,0.8805,0.839,0.003997802734375,54
Stage 3,Create_GTP,0.735,0.8752,0.8919,0.8536,0.005000114440917969,54
Stage 3,"Rule_based_MPB,Exfiltrating_data,goal_node",0.2561,0.062,0.9282,0.892,0.003999233245849609,55
Stage 3,"Connect_PCF,Connect_UPF,Create_GTP,Connect_UE",0.7287,0.8692,0.8914,0.8444,0.003999948501586914,55
Stage 3,Connect_C2,0.4733,0.3911,0.8931,0.8749,0.0039997100830078125,55
Stage 3,"Agent_based_MPB,Launch_Agent,goal_node",0.2626,0.9255,0.062,0.9169,0.0039997100830078125,56
Stage 3,Connect_PCF,0.7304,0.8782,0.8909,0.8355,0.003999948501586914,56
Stage 3,Connect_NEF,0.7394,0.8775,0.8924,0.8635,0.004000663757324219,56
Stage 2,Query_SMF,0.7297,0.8848,0.8804,0.8391,0.005000114440917969,56
Stage 2,"Deploy_malware,Config_PB",0.5456,0.8883,0.8858,0.2161,0.004999399185180664,56
Stage 3,Launch_Agent,0.2619,0.8903,0.8934,0.8794,0.0040035247802734375,56
Stage 3,"Connect_SMF,Connect_UPF",0.7129,0.8694,0.8887,0.7963,0.004000186920166016,56
Stage 3,Connect_NEF,0.7395,0.8776,0.8924,0.8636,0.003999471664428711,56
Stage 3,"Connect_C2,Rule_based_MPB",0.3716,0.2077,0.893,0.875,0.003999233245849609,56
Stage 3,Connect_NEF,0.7396,0.8776,0.8924,0.8637,0.003999233245849609,56
Stage 3,goal_node,0.7532,0.6697,0.6814,0.752,0.005999326705932617,57
Stage 3,"Connect_UPF,Create_GTP",0.7282,0.8695,0.8913,0.8427,0.004000663757324219,57
Stage 2,Deploy_malware,0.5905,0.8886,0.8858,0.3637,0.003999233245849609,57
Stage 2,"SystemUseNotPB,Access_Server,Query_SMF",0.7192,0.885,0.8734,0.816,0.003999948501586914,57
Stage 3,"Access_Server,Query_SMF,Connect_NRF,Connect_SMF,Connect_UPF,Create_GTP",0.7287,0.8695,0.8734,0.8762,0.0030007362365722656,57
Stage 3,"Connect_NEF,Connect_UPF,Create_GTP",0.738,0.8696,0.8929,0.8721,0.0039997100830078125,57
Stage 2,Query_SMF,0.73,0.8849,0.8805,0.8395,0.004000186920166016,57
Stage 3,Launch_Agent,0.2624,0.8904,0.8935,0.8796,0.0039713382720947266,57
Stage 1,"SystemUseNotPB,Access_Server",0.7207,0.8875,0.8734,0.8162,0.004030466079711914,57
Stage 3,Connect_PCF,0.7307,0.8785,0.8909,0.8357,0.003998994827270508,57
Stage 3,Connect_NEF,0.7398,0.8778,0.8924,0.864,0.003998279571533203,57
Stage 3,Rule_based_MPB,0.3721,0.2086,0.8932,0.8785,0.004036664962768555,57
Stage 1,Input_Credentials,0.739,0.8892,0.8846,0.8532,0.004029750823974609,57
Stage 2,Config_PB,0.5464,0.8887,0.8892,0.2169,0.0039980411529541016,57
Stage 3,goal_node,0.7534,0.6699,0.6815,0.7522,0.006028890609741211,58
Stage 3,Connect_PCF,0.7308,0.8786,0.891,0.8359,0.005064249038696289,58
Stage 3,"Connect_UPF,Create_GTP,Connect_UE",0.7284,0.8697,0.8913,0.8429,0.003999233245849609,58
Stage 3,"Connect_UPF,Create_GTP",0.7285,0.8697,0.8913,0.8429,0.0049991607666015625,58
Stage 3,"Connect_SMF,Connect_UPF,Create_GTP",0.7132,0.8697,0.8889,0.7966,0.003999948501586914,58
Stage 3,"Connect_NEF,Connect_UPF,Create_GTP,Connect_UE",0.7382,0.8697,0.8929,0.8723,0.005001544952392578,58
Stage 2,Query_SMF,0.7302,0.8851,0.8805,0.8397,0.004000186920166016,58
Stage 3,goal_node,0.7535,0.67,0.6816,0.7523,0.004000186920166016,59
Stage 3,Create_GTP,0.7354,0.8756,0.892,0.854,0.004000186920166016,59
Stage 3,goal_node,0.7534,0.6702,0.6817,0.7524,0.005001544952392578,60
Stage 1,"Authentication,SystemUseNotPB",0.7305,0.8886,0.8795,0.8361,0.003997802734375,60
Stage 1,Authentication,0.7357,0.8891,0.8827,0.8467,0.003998994827270508,60
Stage 3,Create_GTP,0.7354,0.8757,0.892,0.8541,0.003998517990112305,60
Stage 3,"Launch_Agent,goal_node",0.2629,0.9258,0.6819,0.9185,0.005001068115234375,61
Stage 3,Connect_NEF,0.7399,0.878,0.8925,0.8643,0.004000186920166016,61
Stage 3,Connect_NEF,0.7399,0.878,0.8925,0.8644,0.003999948501586914,61
Stage 3,"Connect_SMF,Connect_UPF,Create_GTP,Connect_UE",0.7132,0.8698,0.8889,0.7967,0.003999233245849609,61
Stage 3,"Authentication,SystemUseNotPB,Access_Server,Query_SMF,Connect_NRF,Connect_SMF,Connect_UPF,Create_GTP",0.7289,0.8699,0.8735,0.8763,0.003999948501586914,61
Stage 2,Portable_Execution,0.464,0.8904,0.3671,0.873,0.003999948501586914,61
Stage 2,Config_PB,0.5467,0.8889,0.8893,0.2176,0.0040302276611328125,61
Stage 3,Connect_SMF,0.7163,0.8771,0.8888,0.7946,0.0039997100830078125,61
Stage 3,Launch_Agent,0.2627,0.8907,0.8936,0.8799,0.004000425338745117,61
Stage 3,"Query_SMF,Connect_NRF,Connect_NEF,Connect_UPF,Create_GTP",0.7379,0.8699,0.8807,0.8931,0.003999948501586914,61
Stage 3,"Token_Impersonation,Connect_NRF,Connect_SMF,Connect_UPF",0.4771,0.8699,0.8902,0.7535,0.004017829895019531,61
Stage 3,goal_node,0.7536,0.6705,0.6816,0.7526,0.003998756408691406,62
Stage 3,"Connect_C2,Rule_based_MPB",0.3725,0.2094,0.8931,0.8754,0.004999399185180664,62
Stage 3,goal_node,0.7535,0.6706,0.6817,0.7527,0.0050008296966552734,63
Stage 3,Connect_UE,0.7397,0.8794,0.8923,0.8607,0.005000114440917969,63
Stage 3,"Connect_PCF,Connect_UPF,Create_GTP",0.7293,0.8701,0.8915,0.845,0.004000186920166016,63
Stage 3,Connect_SMF,0.7163,0.8773,0.8888,0.7945,0.004000186920166016,63
Stage 3,"Connect_SMF,Connect_UPF,Create_GTP,Connect_UE",0.7134,0.8701,0.889,0.7968,0.005001068115234375,63
Stage 2,Query_SMF,0.7304,0.8854,0.8806,0.8399,0.003998994827270508,63
Stage 1,SystemUseNotPB,0.7307,0.8888,0.8795,0.8363,0.0039980411529541016,63
Stage 2,Agent_based_MPB,0.375,0.8907,0.2036,0.878,0.004997968673706055,63
Stage 3,Rule_based_MPB,0.373,0.2102,0.8934,0.8788,0.005001068115234375,63
Stage 3,"Connect_NRF,Connect_SMF,Connect_UPF,Create_GTP,Connect_UE",0.6992,0.8702,0.8867,0.7532,0.003998279571533203,63
Stage 3,"Create_GTP,Connect_UE",0.7357,0.876,0.8921,0.8542,0.004000425338745117,63
Stage 3,Connect_UE,0.7399,0.8795,0.8925,0.8609,0.004998922348022461,63
Stage 3,"Connect_PCF,Connect_UPF,Create_GTP",0.7295,0.8702,0.8916,0.8453,0.0040051937103271484,63
Stage 2,Connect_NRF,0.7055,0.8829,0.8868,0.7533,0.0040013790130615234,63
Stage 3,Connect_NEF,0.7403,0.8784,0.8927,0.8645,0.003999948501586914,63
Stage 3,"Connect_C2,Rule_based_MPB",0.3735,0.2111,0.8933,0.8757,0.003999948501586914,63
Stage 3,"Deploy_malware,Config_PB,Token_Impersonation,Connect_NRF,Connect_SMF,Connect_UPF,Create_GTP,Connect_UE",0.4776,0.8703,0.8852,0.1641,0.004999876022338867,63
Stage 2,Connect_NRF,0.7056,0.883,0.8868,0.7531,0.00400090217590332,63
Stage 3,goal_node,0.7538,0.6707,0.6819,0.7528,0.003998756408691406,64
Stage 1,Authentication,0.7361,0.8894,0.8829,0.8469,0.003996372222900391,64
Stage 3,goal_node,0.7537,0.6709,0.682,0.7529,0.005000114440917969,65
Stage 2,Config_PB,0.5474,0.8892,0.8895,0.2182,0.003998517990112305,65
Stage 3,Connect_UPF,0.7289,0.8704,0.8916,0.8432,0.005000591278076172,65
Stage 3,"Launch_Agent,goal_node",0.2631,0.926,0.6821,0.9186,0.004998922348022461,66
Stage 2,Query_SMF,0.7305,0.8856,0.8807,0.8401,0.004999876022338867,66
Stage 1,Authentication,0.7361,0.8895,0.8828,0.847,0.003999948501586914,66
Stage 1,SystemUseNotPB,0.7309,0.889,0.8796,0.8365,0.004000663757324219,66
Stage 2,Config_PB,0.5477,0.8893,0.8894,0.219,0.003997087478637695,66
Stage 3,"Connect_UPF,Create_GTP",0.729,0.8704,0.8916,0.8433,0.0039904117584228516,66
Stage 3,Connect_PCF,0.7313,0.8793,0.8912,0.8364,0.003968715667724609,66
Stage 3,"Config_PB,Token_Impersonation,goal_node",0.4807,0.8591,0.8936,0.1037,0.00400090217590332,67
Stage 2,Query_SMF,0.7306,0.8857,0.8808,0.8401,0.004000186920166016,67
Stage 2,"Portable_Execution,Agent_based_MPB",0.376,0.8908,0.2045,0.8732,0.0039997100830078125,67
Stage 3,goal_node,0.7538,0.6712,0.682,0.7528,0.003999233245849609,68
Stage 1,Authentication,0.7361,0.8896,0.883,0.8472,0.004000186920166016,68
Stage 1,Authentication,0.7362,0.8896,0.883,0.8472,0.004001617431640625,68
Stage 3,Connect_SMF,0.7166,0.8777,0.8891,0.7947,0.004000186920166016,68
Stage 3,"Launch_Agent,goal_node",0.2629,0.9262,0.6821,0.9187,0.004000186920166016,69
Stage 2,Query_SMF,0.7306,0.8857,0.8808,0.8402,0.0039980411529541016,69
Stage 3,Connect_NEF,0.7403,0.8787,0.8927,0.8646,0.005000591278076172,69
Stage 3,"Query_SMF,Connect_NRF,Connect_SMF,Connect_UPF,Create_GTP,Connect_UE",0.7382,0.8705,0.881,0.8932,0.003999948501586914,69
Stage 3,Connect_UE,0.74,0.8798,0.8926,0.861,0.003999233245849609,69
Stage 3,"Launch_Agent,goal_node",0.2628,0.9262,0.6819,0.9187,0.004999399185180664,70
Stage 2,Connect_NRF,0.7056,0.8832,0.8868,0.7533,0.003999233245849609,70
Stage 3,"Exfiltrating_data,goal_node",0.2557,0.6716,0.9285,0.8943,0.0039980411529541016,71
Stage 3,"Config_PB,Token_Impersonation,goal_node",0.4804,0.8593,0.8936,0.1036,0.0039997100830078125,72
Stage 2,Portable_Execution,0.4652,0.8908,0.3692,0.8733,0.003998756408691406,72
Stage 3,Connect_PCF,0.7313,0.8793,0.8912,0.8365,0.004029512405395508,72
Stage 3,goal_node,0.7537,0.6714,0.6818,0.7529,0.00400090217590332,73
Stage 3,"Access_Server,Query_SMF,Connect_NRF,Connect_NEF,Connect_UPF,Create_GTP,Connect_UE",0.7292,0.8705,0.8738,0.8763,0.003000020980834961,73
Stage 3,Connect_SMF,0.7166,0.8777,0.8891,0.795,0.003999471664428711,73
Stage 1,SystemUseNotPB,0.7309,0.8892,0.8798,0.8366,0.003998756408691406,73
Stage 1,"Authentication,SystemUseNotPB",0.7309,0.8892,0.8798,0.8367,0.004034280776977539,73
Stage 3,"Launch_Agent,goal_node",0.2626,0.9262,0.682,0.9188,0.004000186920166016,74
Stage 3,Connect_PCF,0.7313,0.8794,0.8912,0.8367,0.004032135009765625,74
Stage 3,goal_node,0.7537,0.6717,0.6817,0.7531,0.00400090217590332,75
Stage 1,Authentication,0.7361,0.8897,0.883,0.8474,0.003999948501586914,75
Stage 3,Connect_C2,0.475,0.3944,0.8933,0.8758,0.004001140594482422,75
Stage 3,Connect_NEF,0.7402,0.8788,0.8927,0.8646,0.003999233245849609,75
Stage 1,"Authentication,SystemUseNotPB",0.7309,0.8893,0.8798,0.8368,0.004025459289550781,75
Stage 2,Portable_Execution,0.4656,0.891,0.3701,0.8735,0.0040283203125,75
Stage 3,Connect_UPF,0.7289,0.8707,0.8917,0.8436,0.004998445510864258,75
Stage 3,goal_node,0.7537,0.6718,0.6818,0.7532,0.003998279571533203,76
Stage 3,"Connect_UPF,Create_GTP",0.7289,0.8707,0.8917,0.8436,0.0040013790130615234,76
Stage 3,"Connect_UPF,Create_GTP",0.7289,0.8708,0.8917,0.8436,0.005024433135986328,76
Stage 1,SystemUseNotPB,0.731,0.8894,0.8799,0.8369,0.00400233268737793,76
Stage 3,Create_GTP,0.7358,0.8765,0.8923,0.8546,0.0049991607666015625,76
Stage 2,"Logon_PB,Bypass_Authentication,Access_Server,Query_SMF,Connect_NRF",0.7361,0.8834,0.8739,0.8765,0.0030014514923095703,76
Stage 1,"SystemUseNotPB,Access_Server",0.7213,0.8885,0.874,0.817,0.004000425338745117,76
Stage 2,Portable_Execution,0.4661,0.8911,0.3711,0.8736,0.003998279571533203,76
Stage 3,"SystemUseNotPB,Access_Server,Query_SMF,Connect_NRF,Connect_SMF,Connect_UPF,Create_GTP,Connect_UE",0.7295,0.8708,0.8741,0.8766,0.004000425338745117,76
Stage 3,"Connect_SMF,Connect_UPF",0.7139,0.8708,0.8893,0.7974,0.004000186920166016,76
Stage 2,Config_PB,0.5474,0.8897,0.8897,0.2193,0.00500035285949707,76
Stage 2,Config_PB,0.5476,0.8897,0.8897,0.2201,0.0049991607666015625,76
Stage 3,"Connect_NEF,Connect_UPF,Create_GTP",0.7387,0.8709,0.8933,0.8729,0.004007101058959961,76
Stage 2,"Access_Server,Deploy_malware,Config_PB",0.5456,0.8888,0.8742,0.2208,0.003971099853515625,76
Stage 3,Rule_based_MPB,0.3737,0.2119,0.8937,0.8793,0.004000663757324219,76
Stage 3,Connect_NEF,0.7406,0.8791,0.8929,0.865,0.003999471664428711,76
Stage 3,Launch_Agent,0.2623,0.8915,0.8939,0.8805,0.004637956619262695,76
Stage 3,Connect_NEF,0.7407,0.8791,0.8929,0.8651,0.004000663757324219,76
Stage 3,"Connect_NRF,Connect_SMF",0.7034,0.8785,0.8871,0.7538,0.0040013790130615234,76
Stage 2,Query_SMF,0.731,0.8861,0.8811,0.8406,0.003997325897216797,76
Stage 3,"Agent_based_MPB,Launch_Agent",0.2634,0.8914,0.2054,0.8786,0.004031658172607422,76
Stage 1,SystemUseNotPB,0.7315,0.8895,0.88,0.8372,0.004000186920166016,76
Stage 2,Deploy_malware,0.5922,0.8898,0.8863,0.3679,0.00500035285949707,76
Stage 3,Connect_PCF,0.7318,0.8798,0.8914,0.8371,0.003999471664428711,76
Stage 3,"Portable_Execution,Agent_based_MPB,Launch_Agent,goal_node",0.2653,0.926,0.0631,0.9142,0.0039997100830078125,77
Stage 3,"Query_SMF,Connect_NRF,Connect_SMF,Connect_UPF,Create_GTP",0.7387,0.871,0.8812,0.8936,0.0029981136322021484,77
Stage 3,"Connect_UPF,Create_GTP",0.7294,0.871,0.8917,0.844,0.004998207092285156,77
Stage 3,"Connect_C2,Rule_based_MPB",0.3742,0.2128,0.8934,0.8762,0.004009246826171875,77
Stage 1,SystemUseNotPB,0.7316,0.8896,0.88,0.8374,0.0049974918365478516,77
Stage 3,Create_GTP,0.7363,0.8769,0.8923,0.855,0.004001617431640625,77
Stage 3,"Agent_based_MPB,Launch_Agent",0.2638,0.8915,0.205,0.8787,0.006998777389526367,77
Stage 3,Connect_SMF,0.7172,0.8783,0.8891,0.7955,0.004002094268798828,77
Stage 3,goal_node,0.7542,0.6721,0.6816,0.7535,0.003999471664428711,78
Stage 2,Query_SMF,0.7312,0.8863,0.881,0.8409,0.0039997100830078125,78
Stage 3,"Launch_Agent,goal_node",0.2638,0.9264,0.6817,0.919,0.003999471664428711,79
Stage 1,Authentication,0.7368,0.8902,0.8831,0.8481,0.004000425338745117,79
Stage 2,Config_PB,0.5481,0.8899,0.8895,0.2216,0.0039997100830078125,79
Stage 3,"Connect_NRF,Connect_SMF,Connect_UPF,Create_GTP,Connect_UE",0.6998,0.8712,0.8869,0.7541,0.004999876022338867,79
Stage 3,Connect_UPF,0.7295,0.8712,0.8916,0.8441,0.003999948501586914,79
Stage 3,"Connect_NRF,Connect_PCF,Connect_UPF",0.6999,0.8712,0.8869,0.7542,0.0030002593994140625,79
Stage 3,goal_node,0.7542,0.6724,0.6815,0.7537,0.004967927932739258,80
Stage 3,"Access_Server,Query_SMF,Connect_NRF,Connect_SMF,Connect_UPF,Create_GTP,Connect_UE",0.7299,0.8713,0.8739,0.8768,0.0029973983764648438,80
Stage 2,"Deploy_malware,Config_PB",0.5479,0.8898,0.8862,0.2223,0.004000186920166016,80
Stage 3,"Launch_Agent,goal_node",0.2636,0.9265,0.6816,0.9191,0.005000114440917969,81
Stage 2,"Authentication,SystemUseNotPB,Access_Server,Query_SMF",0.7204,0.8865,0.8739,0.8177,0.0030007362365722656,81
Stage 3,Connect_UE,0.7405,0.8805,0.8925,0.8618,0.004000186920166016,81
Stage 2,"Access_Server,Query_SMF",0.7205,0.8865,0.8739,0.8178,0.003999948501586914,81
Stage 3,Create_GTP,0.7364,0.877,0.8922,0.8552,0.005002021789550781,81
Stage 3,Connect_C2,0.4761,0.3962,0.8933,0.8765,0.004001140594482422,81
Stage 3,Connect_C2,0.4766,0.3969,0.8933,0.8765,0.003999471664428711,81
Stage 3,"Create_GTP,Connect_UE",0.7365,0.8772,0.8922,0.8552,0.005000114440917969,81
Stage 3,"Connect_NRF,Connect_SMF,Connect_UPF,Create_GTP",0.7001,0.8715,0.8869,0.7544,0.00400233268737793,81
Stage 3,Connect_UPF,0.7297,0.8715,0.8916,0.8443,0.004000425338745117,81
Stage 3,Rule_based_MPB,0.3747,0.2136,0.8935,0.8798,0.0039980411529541016,81
Stage 3,Connect_NEF,0.7412,0.8797,0.8928,0.8656,0.004998922348022461,81
Stage 3,goal_node,0.7543,0.6726,0.6814,0.7539,0.004999399185180664,82
Stage 2,"Input_Credentials,Authentication,SystemUseNotPB,Access_Server,Query_SMF,Connect_NRF",0.7368,0.8841,0.874,0.877,0.004000425338745117,82
Stage 3,Launch_Agent,0.2634,0.8919,0.8938,0.881,0.004000186920166016,82
Stage 3,Connect_SMF,0.7175,0.8787,0.8891,0.796,0.004000663757324219,82
Stage 3,"Connect_C2,Rule_based_MPB",0.3751,0.2144,0.8933,0.8767,0.003999471664428711,82
Stage 3,"Create_GTP,Connect_UE",0.7367,0.8774,0.8922,0.8554,0.00599980354309082,82
Stage 3,Launch_Agent,0.2639,0.8919,0.8937,0.881,0.0039997100830078125,82
Stage 2,"Remote_access_PB,Bypass_Authentication,Access_Server,Query_SMF",0.7208,0.8867,0.8739,0.818,0.003999471664428711,82
Stage 3,Connect_UE,0.7409,0.8808,0.8925,0.862,0.003999233245849609,82
Stage 3,"Agent_based_MPB,Launch_Agent,goal_node",0.265,0.9264,0.0622,0.9178,0.003999471664428711,83
Stage 1,Remote_access_PB,0.737,0.8905,0.8829,0.8484,0.003999471664428711,83
