stage_name,node_seq,posture_value_goal_node,posture_value_exfiltrate,posture_value_Launch_Agent,posture_value_Token_Impersonation,prediction_time time,no_of_attacker_reach
Stage 3,Launch_Agent,0.2574,0.888,0.8932,0.876,0.004000663757324219,7
Stage 2,"Input_Credentials,Authentication,SystemUseNotPB,Access_Server,Query_SMF,Connect_NRF",0.7329,0.8794,0.8723,0.8739,0.00400090217590332,7
Stage 3,Launch_Agent,0.258,0.888,0.8931,0.8761,0.0039997100830078125,7
Stage 2,"Query_SMF,Connect_NRF",0.742,0.8794,0.8795,0.8905,0.003996849060058594,7
Stage 3,"Connect_NEF,Connect_UPF,Create_GTP",0.7348,0.8658,0.8924,0.8681,0.003987550735473633,7
Stage 3,goal_node,0.7511,0.6663,0.6813,0.7475,0.004999876022338867,8
Stage 2,Connect_NRF,0.7023,0.8795,0.8858,0.7492,0.0039997100830078125,8
Stage 3,Create_GTP,0.7323,0.872,0.8914,0.85,0.004999399185180664,8
Stage 3,goal_node,0.7511,0.6665,0.6814,0.7476,0.0039975643157958984,9
Stage 3,Connect_NEF,0.7365,0.8744,0.892,0.8596,0.003993511199951172,9
Stage 3,"Connect_PCF,Connect_UPF,Create_GTP,Connect_UE",0.7257,0.8659,0.8909,0.8407,0.003999948501586914,9
Stage 2,"Bypass_Authentication,Access_Server,Query_SMF",0.716,0.8823,0.8723,0.8115,0.004000663757324219,9
Stage 2,Query_SMF,0.7268,0.8822,0.8795,0.8348,0.0040302276611328125,9
Stage 3,Connect_SMF,0.7132,0.8737,0.8881,0.7905,0.003999948501586914,9
Stage 2,Config_PB,0.5429,0.8863,0.8886,0.2068,0.003998517990112305,9
Stage 3,Create_GTP,0.7323,0.8721,0.8915,0.8501,0.004000425338745117,9
Stage 3,"Logon_PB,Bypass_Authentication,Access_Server,Portable_Execution,Agent_based_MPB,Launch_Agent,goal_node",0.2772,0.9205,0.0702,0.8697,0.004029989242553711,10
Stage 2,"Query_SMF,Connect_NRF",0.742,0.8796,0.8794,0.8906,0.003999471664428711,10
Stage 3,Create_GTP,0.7323,0.8721,0.8914,0.8502,0.003999233245849609,10
Stage 3,Connect_PCF,0.7277,0.8753,0.8904,0.8316,0.005000114440917969,10
Stage 3,Create_GTP,0.7324,0.8721,0.8914,0.8502,0.0039997100830078125,10
Stage 3,"Connect_C2,Rule_based_MPB",0.3655,0.1956,0.8926,0.8716,0.0039997100830078125,10
Stage 1,"Input_Credentials,Authentication,SystemUseNotPB",0.7274,0.8861,0.8782,0.8314,0.0039997100830078125,10
Stage 3,Connect_UE,0.7368,0.876,0.8918,0.857,0.0039997100830078125,10
Stage 3,goal_node,0.7512,0.6667,0.6813,0.7479,0.003999233245849609,11
Stage 3,goal_node,0.7511,0.6669,0.6815,0.748,0.003999948501586914,12
Stage 3,"Agent_based_MPB,Launch_Agent,goal_node",0.2589,0.9246,0.0609,0.9152,0.004000425338745117,13
Stage 1,Logon_PB,0.7333,0.8867,0.882,0.8437,0.003999948501586914,13
Stage 1,SystemUseNotPB,0.7272,0.8861,0.8782,0.8315,0.003999948501586914,13
Stage 3,"Launch_Agent,goal_node",0.2582,0.9247,0.6813,0.9167,0.004002571105957031,14
Stage 3,Connect_PCF,0.7276,0.8755,0.8903,0.8317,0.004999637603759766,14
Stage 2,Config_PB,0.5432,0.8865,0.8885,0.2075,0.003999471664428711,14
Stage 3,"Connect_PCF,Connect_UPF,Create_GTP,Connect_UE",0.7258,0.8661,0.8908,0.8412,0.0039997100830078125,14
Stage 2,Query_SMF,0.7267,0.8825,0.8792,0.8352,0.0039958953857421875,14
Stage 2,Portable_Execution,0.4519,0.888,0.3514,0.8692,0.003999471664428711,14
Stage 3,Connect_C2,0.465,0.3757,0.8926,0.8718,0.003998279571533203,14
Stage 3,Create_GTP,0.7324,0.8724,0.8914,0.8504,0.004002094268798828,14
Stage 1,Logon_PB,0.7335,0.8868,0.882,0.844,0.00400090217590332,14
Stage 3,"SystemUseNotPB,Access_Server,Query_SMF,Connect_NRF,Connect_PCF,Connect_UPF,Connect_C2,Rule_based_MPB",0.3678,0.1965,0.8721,0.8742,0.004000425338745117,14
Stage 2,Query_SMF,0.7269,0.8825,0.8793,0.8353,0.003999948501586914,14
Stage 2,Agent_based_MPB,0.3683,0.8884,0.1998,0.8745,0.003999471664428711,14
Stage 3,Connect_NEF,0.7368,0.8748,0.892,0.86,0.00500035285949707,14
Stage 3,"Connect_NRF,Connect_SMF,Connect_UPF,Create_GTP,Connect_UE",0.6959,0.8662,0.8858,0.7497,0.003993988037109375,14
Stage 3,Connect_UPF,0.7254,0.8662,0.8908,0.8394,0.00500035285949707,14
Stage 1,Authentication,0.7328,0.8868,0.8816,0.8423,0.003999948501586914,14
