attacker_capability,stage_name,node_seq,posture_value_goal_node,posture_value_exfiltrate,posture_value_Launch_Agent,posture_value_Token_Impersonation,prediction_time time,no_of_attacker_reach
,,,,,,,,
1,Stage 1,"Authentication,SystemUseNotPB",0.7259,0.8882,0.8738,0.8253,0.00402832,6
,,,,,,,,
0,Stage 2,Portable_Execution,0.4483,0.8897,0.3384,0.8676,0.004001856,6
,,,,,,,,
0,Stage 2,Portable_Execution,0.4489,0.8897,0.3394,0.8676,0.004000187,6
,,,,,,,,
1,Stage 3,"Connect_C2,Rule_based_MPB,Exfiltrating_data,goal_node",0.2419,0.0642,0.9262,0.8531,0.003999472,7
,,,,,,,,
0,Stage 1,Authentication,0.7317,0.8886,0.8773,0.8372,0.00399828,7
,,,,,,,,
0,Stage 2,Portable_Execution,0.4494,0.8896,0.3404,0.8677,0.004998207,7
,,,,,,,,
1,Stage 2,"SystemUseNotPB,Access_Server,Query_SMF",0.716,0.8856,0.8689,0.8068,0.004000425,7
,,,,,,,,
0,Stage 3,goal_node,0.7511,0.665,0.6695,0.7384,0.004002333,8
,,,,,,,,
1,Stage 3,Rule_based_MPB,0.3654,0.2162,0.8883,0.8741,0.003998041,8
,,,,,,,,
0,Stage 2,Connect_NRF,0.6988,0.8836,0.8814,0.7376,0.003998041,8
,,,,,,,,
0,Stage 2,Deploy_malware,0.5721,0.8885,0.8815,0.3242,0.005028009,8
,,,,,,,,
1,Stage 1,SystemUseNotPB,0.7261,0.8883,0.8741,0.8255,0.004000664,8
,,,,,,,,
1,Stage 2,Config_PB,0.5259,0.8885,0.8843,0.1768,0.004987478,8
,,,,,,,,
0,Stage 3,Connect_UE,0.7379,0.8812,0.8873,0.8537,0.00399971,8
,,,,,,,,
0,Stage 3,Connect_SMF,0.7123,0.8793,0.8838,0.783,0.004003048,8
,,,,,,,,
0,Stage 3,Connect_UPF,0.7269,0.8738,0.8864,0.834,0.003999949,8
,,,,,,,,
1,Stage 1,"Logon_PB,Bypass_Authentication,Access_Server",0.7173,0.8877,0.869,0.8071,0.004000187,8
,,,,,,,,
1,Stage 3,"Config_PB,Token_Impersonation,goal_node",0.4698,0.8177,0.891,0.0797,0.004000664,9
,,,,,,,,
0,Stage 3,goal_node,0.7511,0.6653,0.6698,0.7382,0.004000187,10
,,,,,,,,
1,Stage 2,"Deploy_malware,Config_PB",0.5255,0.8884,0.8816,0.1774,0.003996134,10
,,,,,,,,
1,Stage 1,Logon_PB,0.7317,0.8887,0.8774,0.8371,0.003999472,10
,,,,,,,,
