stage_name,node_seq,posture_value_goal_node,posture_value_exfiltrate,posture_value_Launch_Agent,posture_value_Token_Impersonation,prediction_time time,no_of_attacker_reach
Stage 1,Authentication,0.7271,0.8843,0.8823,0.837,0.003999471664428711,0
Stage 2,"Logon_PB,Bypass_Authentication,Access_Server,Query_SMF,Connect_NRF",0.7271,0.8776,0.8722,0.8673,0.00500178337097168,0
Stage 3,Connect_UE,0.7323,0.8743,0.893,0.8542,0.004001140594482422,0
Stage 1,Input_Credentials,0.7315,0.8847,0.8849,0.8458,0.004001617431640625,0
Stage 1,Bypass_Authentication,0.7212,0.8838,0.8787,0.825,0.004000663757324219,0
Stage 3,"Create_GTP,Connect_UE",0.7275,0.8706,0.8926,0.8467,0.004999637603759766,0
Stage 3,"Launch_Agent,goal_node",0.261,0.9228,0.6909,0.9148,0.003999471664428711,1
Stage 3,Connect_PCF,0.7224,0.8731,0.8916,0.8285,0.004999399185180664,1
Stage 3,Create_GTP,0.7275,0.8706,0.8926,0.8468,0.0049991607666015625,1
Stage 2,"SystemUseNotPB,Access_Server,Query_SMF",0.7088,0.8804,0.8722,0.8032,0.003999233245849609,1
Stage 1,Authentication,0.7273,0.8844,0.8823,0.8373,0.003998756408691406,1
Stage 3,"Connect_PCF,Connect_UPF",0.7214,0.8646,0.8922,0.8394,0.0040018558502197266,1
Stage 3,"Exfiltrating_data,goal_node",0.2251,0.6502,0.9317,0.8645,0.005999565124511719,2
Stage 3,Connect_UPF,0.7197,0.8645,0.892,0.8346,0.005002498626708984,2
Stage 3,Connect_SMF,0.7044,0.8724,0.8888,0.7782,0.0050013065338134766,2
Stage 2,Portable_Execution,0.4632,0.8855,0.3726,0.8653,0.0040035247802734375,2
Stage 2,Portable_Execution,0.4637,0.8855,0.3736,0.8654,0.004000425338745117,2
Stage 3,Connect_PCF,0.7226,0.8731,0.8917,0.8288,0.0040018558502197266,2
Stage 3,"Connect_PCF,Connect_UPF",0.7216,0.8646,0.8923,0.8397,0.004000425338745117,2
Stage 1,Bypass_Authentication,0.7215,0.8839,0.8789,0.8252,0.005001068115234375,2
Stage 3,Connect_NEF,0.7324,0.8722,0.8933,0.8581,0.004997730255126953,2
Stage 1,"SystemUseNotPB,Access_Server",0.7106,0.883,0.8725,0.8033,0.004000663757324219,2
Stage 1,Input_Credentials,0.7319,0.8848,0.8851,0.8462,0.004001140594482422,2
Stage 3,"Query_SMF,Connect_NRF,Connect_SMF,Connect_UPF,Create_GTP,Connect_UE",0.7289,0.8647,0.8794,0.8839,0.005002737045288086,2
Stage 3,Exfiltrating_data,0.2249,0.8861,0.8943,0.8756,0.004000425338745117,2
Stage 1,Bypass_Authentication,0.7216,0.8839,0.879,0.8254,0.004001617431640625,2
Stage 3,"Create_GTP,Connect_UE",0.7279,0.8707,0.8928,0.847,0.005002260208129883,2
Stage 3,Launch_Agent,0.2608,0.8859,0.8945,0.8744,0.0049936771392822266,2
Stage 3,"Launch_Agent,goal_node",0.2614,0.9228,0.6907,0.915,0.005003929138183594,3
Stage 3,Connect_SMF,0.7047,0.8724,0.8888,0.7784,0.0050013065338134766,3
Stage 3,"Connect_UPF,Create_GTP,Connect_UE",0.72,0.8646,0.892,0.8348,0.0050008296966552734,3
Stage 3,"Authentication,SystemUseNotPB,Access_Server,Query_SMF,Connect_NRF,Connect_PCF,Connect_UPF",0.7202,0.8647,0.8724,0.8676,0.004002809524536133,3
Stage 3,"Create_GTP,Connect_UE",0.728,0.8707,0.8927,0.8472,0.00500035285949707,3
Stage 1,Access_Server,0.7108,0.8831,0.8725,0.8035,0.0050029754638671875,3
Stage 1,"Remote_access_PB,Bypass_Authentication",0.7218,0.884,0.879,0.8256,0.004001617431640625,3
Stage 2,Query_SMF,0.72,0.8804,0.8792,0.8263,0.004999399185180664,3
Stage 1,Authentication,0.7278,0.8845,0.8825,0.8376,0.0050013065338134766,3
Stage 3,Connect_SMF,0.7049,0.8726,0.8889,0.7787,0.003998756408691406,3
Stage 2,Portable_Execution,0.4646,0.8857,0.3746,0.8657,0.0040018558502197266,3
