stage_name,node_seq,posture_value_goal_node,posture_value_exfiltrate,posture_value_Launch_Agent,posture_value_Token_Impersonation,prediction_time time,no_of_attacker_reach
Stage 2,Portable_Execution,0.4652,0.8857,0.3756,0.8658,0.005001068115234375,3
Stage 3,"Connect_PCF,Connect_UPF",0.722,0.8647,0.8923,0.8399,0.00500035285949707,3
Stage 3,"Create_GTP,Connect_UE",0.7282,0.8708,0.8928,0.8473,0.0039997100830078125,3
Stage 3,"Create_GTP,Connect_UE",0.7282,0.8709,0.8928,0.8473,0.00500035285949707,3
Stage 3,Connect_UE,0.7331,0.8746,0.8932,0.8549,0.004996538162231445,3
Stage 1,Input_Credentials,0.7324,0.8849,0.8852,0.8465,0.004999637603759766,3
Stage 1,Input_Credentials,0.7325,0.885,0.8853,0.8466,0.004998922348022461,3
Stage 2,Config_PB,0.5303,0.8842,0.8896,0.2108,0.004999399185180664,3
Stage 1,Authentication,0.7281,0.8846,0.8827,0.8378,0.005000114440917969,3
Stage 2,Query_SMF,0.7203,0.8805,0.8794,0.8265,0.00400090217590332,3
Stage 3,"Connect_PCF,Connect_UPF",0.7222,0.8648,0.8924,0.8401,0.004002094268798828,3
Stage 3,Connect_UE,0.7332,0.8747,0.8933,0.8549,0.00397181510925293,3
Stage 3,Create_GTP,0.7284,0.871,0.8929,0.8475,0.0050013065338134766,3
Stage 3,"Logon_PB,Bypass_Authentication,Access_Server,Query_SMF,Connect_NRF,Connect_NEF,Connect_UPF,Create_GTP,Connect_UE",0.7207,0.8649,0.8728,0.8677,0.004001140594482422,3
Stage 3,Rule_based_MPB,0.3412,0.1968,0.8944,0.8743,0.006001949310302734,3
Stage 1,"Remote_access_PB,Bypass_Authentication,Access_Server",0.7114,0.8833,0.8729,0.8039,0.0040013790130615234,3
Stage 2,Portable_Execution,0.4658,0.8858,0.3767,0.866,0.005001544952392578,3
Stage 3,"Connect_PCF,Connect_UPF,Create_GTP,Connect_UE",0.7224,0.8649,0.8925,0.8403,0.005002021789550781,3
Stage 3,"Connect_C2,Rule_based_MPB",0.3413,0.1977,0.8942,0.871,0.00400090217590332,3
Stage 3,Connect_UE,0.7334,0.8748,0.8934,0.8551,0.005001068115234375,3
Stage 3,Launch_Agent,0.261,0.8862,0.8946,0.8749,0.003998279571533203,3
Stage 2,Config_PB,0.5306,0.8844,0.8897,0.2116,0.004000425338745117,3
Stage 3,Connect_NEF,0.7332,0.8727,0.8935,0.8584,0.004000186920166016,3
Stage 2,Deploy_malware,0.5781,0.8845,0.886,0.3619,0.0040018558502197266,3
Stage 3,"Connect_NEF,Connect_UPF,Create_GTP",0.7323,0.8651,0.894,0.8682,0.005000591278076172,3
Stage 1,SystemUseNotPB,0.7222,0.8843,0.8791,0.8252,0.0039997100830078125,3
Stage 2,Deploy_malware,0.5784,0.8845,0.886,0.3627,0.00500178337097168,3
Stage 1,Authentication,0.7287,0.8848,0.8829,0.8384,0.003999471664428711,3
Stage 3,"Connect_UPF,Create_GTP",0.7209,0.8651,0.8923,0.8354,0.00500035285949707,3
Stage 3,Connect_UE,0.7337,0.8749,0.8934,0.8552,0.00400090217590332,3
Stage 2,Config_PB,0.5309,0.8845,0.8898,0.2123,0.004000663757324219,3
Stage 3,"Exfiltrating_data,goal_node",0.2255,0.6502,0.9319,0.8652,0.005998373031616211,4
Stage 3,"Connect_NEF,Connect_UPF",0.7324,0.8651,0.8941,0.8684,0.004000186920166016,4
Stage 3,Connect_PCF,0.7238,0.8736,0.892,0.8297,0.003998756408691406,4
Stage 3,"Connect_NEF,Connect_UPF",0.7325,0.8651,0.8941,0.8685,0.004001140594482422,4
Stage 3,Connect_UE,0.7337,0.8749,0.8934,0.8553,0.004001140594482422,4
Stage 3,Exfiltrating_data,0.2253,0.8865,0.8946,0.8762,0.004999876022338867,4
Stage 2,"Access_Server,Portable_Execution",0.4678,0.8834,0.3777,0.8045,0.003998279571533203,4
Stage 2,"Portable_Execution,Agent_based_MPB",0.3693,0.8859,0.1961,0.8663,0.005000114440917969,4
Stage 3,"Connect_C2,Rule_based_MPB",0.3421,0.1985,0.8943,0.8712,0.003999948501586914,4
Stage 3,Launch_Agent,0.2616,0.8863,0.8947,0.8751,0.004998922348022461,4
Stage 3,Connect_UE,0.7339,0.8749,0.8934,0.8554,0.005002021789550781,4
Stage 3,Connect_UE,0.7339,0.8749,0.8934,0.8554,0.005003213882446289,4
Stage 3,Launch_Agent,0.2621,0.8863,0.8947,0.8751,0.0049991607666015625,4
Stage 1,Authentication,0.729,0.8848,0.8828,0.8386,0.004971504211425781,4
Stage 2,Connect_NRF,0.6922,0.8782,0.8866,0.732,0.0050008296966552734,4
Stage 2,Query_SMF,0.7212,0.8808,0.8795,0.8273,0.004000425338745117,4
Stage 3,Connect_UE,0.734,0.875,0.8933,0.8555,0.00500035285949707,4
Stage 2,"SystemUseNotPB,Access_Server,Query_SMF",0.7106,0.8809,0.8728,0.8047,0.004000186920166016,4
Stage 3,"Connect_NEF,Connect_UPF",0.7329,0.8652,0.8941,0.8687,0.004995822906494141,4
Stage 1,"Authentication,SystemUseNotPB",0.7227,0.8844,0.8791,0.8257,0.004000186920166016,4
Stage 2,"Authentication,SystemUseNotPB,Access_Server,Query_SMF",0.7107,0.8809,0.8729,0.8047,0.004002809524536133,4
Stage 3,Connect_SMF,0.706,0.8731,0.8892,0.7792,0.0069997310638427734,4
Stage 2,"Deploy_malware,Config_PB",0.5308,0.8844,0.8861,0.213,0.005001544952392578,4
Stage 3,Connect_SMF,0.7061,0.8731,0.8893,0.7793,0.004999637603759766,4
Stage 1,Authentication,0.7293,0.885,0.8829,0.8389,0.00500035285949707,4
Stage 3,Connect_SMF,0.7062,0.8731,0.8893,0.7794,0.004998683929443359,4
Stage 2,"Access_Server,Query_SMF",0.7109,0.881,0.873,0.8049,0.0039980411529541016,4
Stage 1,Logon_PB,0.7304,0.8851,0.8836,0.8411,0.003970623016357422,4
Stage 3,Exfiltrating_data,0.2259,0.8866,0.8946,0.8765,0.003999948501586914,4
Stage 1,Bypass_Authentication,0.7233,0.8844,0.8794,0.8268,0.004000663757324219,4
Stage 1,Authentication,0.7294,0.8849,0.883,0.839,0.004028797149658203,4
Stage 3,Rule_based_MPB,0.3436,0.1994,0.8946,0.8749,0.0040013790130615234,4
Stage 3,"Connect_NEF,Connect_UPF",0.7332,0.8653,0.8942,0.8689,0.004000186920166016,4
Stage 1,Bypass_Authentication,0.7235,0.8845,0.8795,0.8269,0.005001544952392578,4
Stage 1,Bypass_Authentication,0.7235,0.8845,0.8795,0.827,0.005001068115234375,4
Stage 3,"Exfiltrating_data,goal_node",0.2264,0.6499,0.9319,0.8655,0.007000923156738281,5
Stage 3,Connect_PCF,0.7244,0.8737,0.8922,0.8301,0.0040013790130615234,5
Stage 3,Launch_Agent,0.2626,0.8864,0.8948,0.8754,0.0050013065338134766,5
Stage 1,"Logon_PB,Bypass_Authentication,Access_Server",0.7126,0.8835,0.873,0.8051,0.004000186920166016,5
Stage 1,Input_Credentials,0.734,0.8853,0.8856,0.848,0.0050008296966552734,5
Stage 3,Connect_NEF,0.7343,0.8728,0.8937,0.8594,0.00500178337097168,5
Stage 3,"Connect_C2,Rule_based_MPB,Exfiltrating_data",0.226,0.2002,0.8944,0.8716,0.00400090217590332,5
Stage 1,Access_Server,0.7127,0.8835,0.873,0.8052,0.0039997100830078125,5
Stage 2,"Logon_PB,Bypass_Authentication,Access_Server,Query_SMF",0.7112,0.8809,0.8731,0.8052,0.004000663757324219,5
Stage 1,SystemUseNotPB,0.7232,0.8844,0.8793,0.8263,0.003999948501586914,5
Stage 2,"Logon_PB,Bypass_Authentication,Access_Server,Query_SMF",0.7113,0.8809,0.8731,0.8053,0.004999399185180664,5
Stage 2,"Logon_PB,Bypass_Authentication,Access_Server,Query_SMF,Connect_NRF",0.7294,0.8783,0.8731,0.8684,0.004000663757324219,5
Stage 1,"Logon_PB,Bypass_Authentication",0.7238,0.8844,0.8796,0.8273,0.004000663757324219,5
Stage 3,"Connect_UPF,Create_GTP,Connect_UE",0.7219,0.8653,0.8925,0.8361,0.0040035247802734375,5
Stage 3,"Exfiltrating_data,goal_node",0.2268,0.6496,0.9319,0.8656,0.004000186920166016,6
Stage 1,Bypass_Authentication,0.7238,0.8844,0.8796,0.8274,0.0040013790130615234,6
Stage 1,Authentication,0.7299,0.8849,0.8832,0.8395,0.004003763198852539,6
Stage 1,"Authentication,SystemUseNotPB",0.7234,0.8844,0.8794,0.8265,0.004000425338745117,6
Stage 1,Access_Server,0.7129,0.8835,0.8732,0.8055,0.004001617431640625,6
Stage 2,"Input_Credentials,Authentication,SystemUseNotPB,Access_Server,Deploy_malware,Config_PB",0.5295,0.8837,0.8732,0.2138,0.0039980411529541016,6
Stage 2,"SystemUseNotPB,Access_Server,Query_SMF",0.7114,0.8809,0.8733,0.8054,0.004001140594482422,6
Stage 3,"Launch_Agent,goal_node",0.2631,0.9229,0.6906,0.9156,0.00800013542175293,7
Stage 1,Bypass_Authentication,0.7239,0.8845,0.8797,0.8275,0.005002498626708984,7
Stage 1,"Remote_access_PB,Bypass_Authentication",0.724,0.8845,0.8797,0.8276,0.0050008296966552734,7
Stage 1,"Logon_PB,Bypass_Authentication,Access_Server",0.713,0.8836,0.8732,0.8055,0.004000186920166016,7
Stage 3,Connect_PCF,0.7248,0.8738,0.8922,0.8304,0.005000591278076172,7
Stage 3,Connect_UE,0.7348,0.8751,0.8936,0.856,0.00500035285949707,7
Stage 1,Bypass_Authentication,0.7241,0.8845,0.8798,0.8277,0.0039997100830078125,7
Stage 2,Config_PB,0.5319,0.8846,0.89,0.2145,0.004000663757324219,7
Stage 3,goal_node,0.7499,0.6495,0.6904,0.7409,0.005002498626708984,8
Stage 3,"Rule_based_MPB,Exfiltrating_data,goal_node",0.2266,0.0564,0.9319,0.8641,0.004000425338745117,9
Stage 2,Portable_Execution,0.4686,0.8861,0.3791,0.8671,0.004999399185180664,9
Stage 3,Exfiltrating_data,0.2265,0.8866,0.8948,0.8769,0.004001140594482422,9
Stage 2,Portable_Execution,0.4692,0.886,0.3801,0.8672,0.004999637603759766,9
Stage 3,Launch_Agent,0.2629,0.8864,0.895,0.8759,0.004000186920166016,9
Stage 2,Portable_Execution,0.47,0.886,0.381,0.8672,0.003999233245849609,9
Stage 3,Create_GTP,0.7299,0.8712,0.8932,0.8485,0.004998445510864258,9
Stage 3,Connect_SMF,0.7067,0.873,0.8896,0.7797,0.0039997100830078125,9
Stage 1,"Input_Credentials,Authentication",0.7302,0.8849,0.8834,0.8398,0.004000663757324219,9
Stage 2,"Bypass_Authentication,Access_Server,Query_SMF",0.7118,0.8809,0.8735,0.8057,0.005002021789550781,9
Stage 3,"Agent_based_MPB,Launch_Agent",0.2642,0.8863,0.1971,0.8735,0.004000425338745117,9
Stage 2,"SystemUseNotPB,Access_Server,Query_SMF",0.7118,0.881,0.8735,0.8058,0.0039997100830078125,9
Stage 3,"Connect_UPF,Create_GTP,Connect_UE",0.7222,0.8652,0.8925,0.8363,0.005002021789550781,9
Stage 1,"Logon_PB,Bypass_Authentication",0.7244,0.8845,0.8799,0.828,0.004011631011962891,9
Stage 1,"SystemUseNotPB,Access_Server",0.7135,0.8836,0.8735,0.8059,0.003997325897216797,9
Stage 3,Connect_SMF,0.7069,0.8731,0.8896,0.7798,0.003999471664428711,9
Stage 3,Connect_UE,0.7351,0.8751,0.8937,0.8563,0.004001140594482422,9
Stage 3,Exfiltrating_data,0.2271,0.8866,0.8948,0.8771,0.005001068115234375,9
Stage 2,Portable_Execution,0.4709,0.8861,0.3819,0.8675,0.005002260208129883,9
Stage 1,Logon_PB,0.7316,0.885,0.8841,0.8422,0.003998994827270508,9
Stage 2,Query_SMF,0.7226,0.8809,0.8802,0.8284,0.004998207092285156,9
Stage 2,"Remote_access_PB,Bypass_Authentication,Access_Server,Deploy_malware,Config_PB",0.5301,0.8838,0.8737,0.2152,0.003998994827270508,9
Stage 1,Bypass_Authentication,0.7247,0.8845,0.8801,0.8281,0.004000186920166016,9
Stage 2,Config_PB,0.5324,0.8846,0.8902,0.2159,0.005000114440917969,9
Stage 1,Authentication,0.7306,0.885,0.8836,0.8401,0.005010366439819336,9
Stage 1,SystemUseNotPB,0.7241,0.8845,0.8798,0.827,0.003996610641479492,9
Stage 3,"Launch_Agent,goal_node",0.264,0.9229,0.6905,0.9159,0.004000186920166016,10
Stage 3,Create_GTP,0.7303,0.8713,0.8933,0.8488,0.003999948501586914,10
Stage 1,"Authentication,SystemUseNotPB,Access_Server",0.7137,0.8837,0.8737,0.806,0.003998994827270508,10
Stage 3,Create_GTP,0.7304,0.8713,0.8933,0.8488,0.004999637603759766,10
Stage 2,"Access_Server,Query_SMF",0.7122,0.8811,0.8737,0.8061,0.00400090217590332,10
Stage 3,Connect_C2,0.435,0.354,0.8946,0.8722,0.004002094268798828,10
Stage 3,"Bypass_Authentication,Access_Server,Query_SMF,Connect_NRF,Connect_SMF,Connect_UPF,Create_GTP,Connect_UE",0.7229,0.8654,0.8738,0.8686,0.0030002593994140625,10
Stage 2,Portable_Execution,0.4714,0.8862,0.3828,0.8677,0.0039997100830078125,10
Stage 2,Query_SMF,0.7229,0.8811,0.8803,0.8286,0.00400090217590332,10
Stage 2,Config_PB,0.5327,0.8848,0.8902,0.2167,0.0050013065338134766,10
Stage 3,"Remote_access_PB,Bypass_Authentication,Access_Server,Query_SMF,Connect_NRF,Connect_PCF",0.7293,0.8764,0.8739,0.8687,0.00400090217590332,10
Stage 3,"Rule_based_MPB,Exfiltrating_data",0.2275,0.1998,0.8948,0.8757,0.004002094268798828,10
Stage 3,"Connect_C2,Rule_based_MPB,Exfiltrating_data",0.2279,0.1996,0.8946,0.8724,0.003829479217529297,10
