attacker_capability,stage_name,node_seq,posture_value_goal_node,posture_value_exfiltrate,posture_value_Launch_Agent,posture_value_Token_Impersonation,prediction_time time,no_of_attacker_reach
0,Stage 3,Connect_C2,0.4488,0.3628,0.892,0.873,0.003999948501586914,12
1,Stage 1,Remote_access_PB,0.7343,0.8874,0.8802,0.8381,0.0039708614349365234,12
1,Stage 1,"Logon_PB,Bypass_Authentication",0.7292,0.8871,0.8771,0.8277,0.0039708614349365234,12
1,Stage 2,Config_PB,0.5284,0.8873,0.8876,0.1984,0.003999233245849609,12
0,Stage 3,Connect_PCF,0.7329,0.8791,0.8898,0.8338,0.003999948501586914,12
0,Stage 3,"Launch_Agent,goal_node",0.2706,0.9237,0.6799,0.9145,0.0039997100830078125,13
0,Stage 3,goal_node,0.7546,0.6552,0.6796,0.7344,0.004999399185180664,14
0,Stage 3,"Launch_Agent,goal_node",0.2704,0.9237,0.6798,0.9146,0.004000425338745117,15
1,Stage 3,"Portable_Execution,Agent_based_MPB,Launch_Agent,goal_node",0.2723,0.9234,0.0735,0.9093,0.004000425338745117,16
0,Stage 1,Bypass_Authentication,0.7291,0.8872,0.8769,0.8279,0.003999948501586914,16
0,Stage 2,Portable_Execution,0.4613,0.8885,0.3528,0.868,0.003999948501586914,16
0,Stage 3,"Token_Impersonation,goal_node",0.4633,0.8459,0.8968,0.7347,0.004000425338745117,17
0,Stage 3,"Query_SMF,Connect_NRF,Connect_SMF",0.7442,0.879,0.8781,0.8882,0.003999948501586914,17
0,Stage 3,Create_GTP,0.7368,0.8771,0.8905,0.8483,0.004000425338745117,17
0,Stage 2,Query_SMF,0.729,0.8846,0.878,0.831,0.0039997100830078125,17
0,Stage 1,Bypass_Authentication,0.7291,0.8872,0.8771,0.8279,0.0039997100830078125,17
0,Stage 3,Create_GTP,0.7369,0.8771,0.8905,0.8483,0.0049991607666015625,17
0,Stage 3,"Create_GTP,Connect_UE",0.7369,0.8771,0.8905,0.8484,0.00400233268737793,17
0,Stage 3,goal_node,0.7546,0.6557,0.6793,0.7344,0.003999471664428711,18
0,Stage 3,"Token_Impersonation,goal_node",0.463,0.8461,0.8969,0.7346,0.004999637603759766,19
0,Stage 3,goal_node,0.7544,0.6559,0.6796,0.7343,0.0039997100830078125,20
0,Stage 3,Connect_PCF,0.7326,0.8793,0.8897,0.8339,0.004997968673706055,20
1,Stage 2,Config_PB,0.5282,0.8875,0.8876,0.1992,0.004998207092285156,20
0,Stage 3,"Create_GTP,Connect_UE",0.7367,0.8772,0.8906,0.8484,0.005000591278076172,20
0,Stage 3,Connect_NEF,0.7404,0.8792,0.891,0.8559,0.004000186920166016,20
0,Stage 3,Connect_UE,0.7415,0.8803,0.891,0.8564,0.003999471664428711,20
1,Stage 2,Config_PB,0.5285,0.8875,0.8876,0.2,0.003999948501586914,20
0,Stage 2,Portable_Execution,0.4618,0.8887,0.3538,0.8681,0.0060007572174072266,20
0,Stage 3,"Exfiltrating_data,goal_node",0.2392,0.6561,0.9291,0.8813,0.0040056705474853516,21
1,Stage 1,"Logon_PB,Bypass_Authentication",0.7291,0.8873,0.8773,0.8281,0.003999948501586914,21
1,Stage 3,"Rule_based_MPB,Exfiltrating_data,goal_node",0.2391,0.0571,0.9291,0.8803,0.0050013065338134766,22
0,Stage 3,"Exfiltrating_data,goal_node",0.2389,0.6556,0.9292,0.8814,0.0039997100830078125,23
0,Stage 3,goal_node,0.7544,0.6553,0.6801,0.7346,0.004000186920166016,24
0,Stage 3,Connect_C2,0.4488,0.3634,0.892,0.8732,0.004030704498291016,24
1,Stage 1,Remote_access_PB,0.7342,0.8875,0.8804,0.8386,0.004000186920166016,24
0,Stage 3,Connect_SMF,0.7157,0.8787,0.8873,0.7877,0.004999637603759766,24
0,Stage 1,Bypass_Authentication,0.729,0.8872,0.8773,0.8282,0.003999233245849609,24
0,Stage 3,goal_node,0.7544,0.6555,0.6802,0.7348,0.004000425338745117,25
0,Stage 3,Connect_C2,0.4493,0.3643,0.8921,0.8732,0.004999876022338867,25
0,Stage 2,"Bypass_Authentication,Access_Server,Deploy_malware",0.5809,0.8867,0.8712,0.3718,0.003999948501586914,25
0,Stage 1,Bypass_Authentication,0.729,0.8872,0.8774,0.8283,0.004000186920166016,25
0,Stage 3,Exfiltrating_data,0.2387,0.8889,0.8923,0.877,0.003999471664428711,25
0,Stage 3,Connect_NEF,0.7404,0.879,0.8912,0.8561,0.003999948501586914,25
0,Stage 3,goal_node,0.7544,0.6556,0.6804,0.7349,0.0039997100830078125,26
0,Stage 3,Connect_NEF,0.7404,0.8791,0.8912,0.8562,0.004999876022338867,26
0,Stage 3,goal_node,0.7543,0.6557,0.6805,0.735,0.0039997100830078125,27
0,Stage 2,Portable_Execution,0.4622,0.8885,0.3549,0.8683,0.004000425338745117,27
0,Stage 2,Query_SMF,0.7288,0.8845,0.8784,0.8313,0.003999233245849609,27
1,Stage 3,"Connect_C2,Rule_based_MPB",0.3556,0.2015,0.8922,0.8734,0.003999233245849609,27
0,Stage 2,Portable_Execution,0.4628,0.8885,0.3559,0.8684,0.003999471664428711,27
1,Stage 1,SystemUseNotPB,0.7293,0.8872,0.8778,0.8288,0.004000186920166016,27
1,Stage 2,"Deploy_malware,Config_PB",0.5283,0.8873,0.8846,0.2008,0.0039997100830078125,27
0,Stage 3,Connect_C2,0.4503,0.3656,0.8922,0.8734,0.004000186920166016,27
1,Stage 2,"Portable_Execution,Agent_based_MPB",0.396,0.8886,0.2313,0.8685,0.003999948501586914,27
0,Stage 3,"Exfiltrating_data,goal_node",0.2392,0.6559,0.9293,0.8816,0.004000186920166016,28
0,Stage 2,Deploy_malware,0.5844,0.8874,0.8846,0.3729,0.004000186920166016,28
0,Stage 3,Connect_NEF,0.7405,0.8792,0.8914,0.8564,0.003999948501586914,28
0,Stage 3,Create_GTP,0.7368,0.8772,0.8909,0.8487,0.003999233245849609,28
0,Stage 2,Query_SMF,0.7291,0.8846,0.8786,0.8316,0.003999948501586914,28
0,Stage 3,goal_node,0.7544,0.6556,0.6808,0.7353,0.0039997100830078125,29
0,Stage 3,Connect_SMF,0.7158,0.8788,0.8877,0.7879,0.003999948501586914,29
0,Stage 3,Create_GTP,0.7368,0.8772,0.891,0.8488,0.0039997100830078125,29
0,Stage 3,Connect_NEF,0.7406,0.8793,0.8914,0.8565,0.004000186920166016,29
1,Stage 1,"Remote_access_PB,Bypass_Authentication",0.7293,0.8873,0.8778,0.8287,0.004000186920166016,29
0,Stage 1,Bypass_Authentication,0.7293,0.8873,0.8778,0.8287,0.003999948501586914,29
0,Stage 3,Create_GTP,0.7369,0.8773,0.891,0.8488,0.00500035285949707,29
0,Stage 3,Exfiltrating_data,0.2391,0.8889,0.8926,0.8773,0.004998683929443359,29
0,Stage 3,Exfiltrating_data,0.2396,0.8889,0.8926,0.8773,0.003998517990112305,29
0,Stage 3,"Launch_Agent,goal_node",0.27,0.9237,0.6809,0.915,0.0050008296966552734,30
