attacker_capability,stage_name,node_seq,posture_value_goal_node,posture_value_exfiltrate,posture_value_Launch_Agent,posture_value_Token_Impersonation,prediction_time time,no_of_attacker_reach
1,Stage 1,"['Logon_PB', 'Bypass_Authentication']",0.9802,0.995,0.9814,0.9377,0.0039997100830078125,0
3,Stage 3,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF']",0.9674,0.9721,0.9737,0.9392,0.004002571105957031,0
2,Stage 1,"['Input_Credentials', 'Authentication', 'SystemUseNotPB']",0.9813,0.9953,0.9825,0.9413,0.003996133804321289,0
3,Stage 2,"['Input_Credentials', 'Authentication', 'SystemUseNotPB', 'Access_Server', 'Query_SMF', 'Connect_NRF']",0.9719,0.9829,0.9737,0.9392,0.005002021789550781,0
1,Stage 1,['Input_Credentials'],0.9843,0.9961,0.9853,0.9508,0.0049991607666015625,0
3,Stage 3,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF']",0.9607,0.9559,0.9737,0.9392,0.004000425338745117,0
1,Stage 1,['Logon_PB'],0.9847,0.9962,0.9857,0.952,0.0049974918365478516,0
3,Stage 2,"['Input_Credentials', 'Authentication', 'SystemUseNotPB', 'Access_Server', 'Portable_Execution', 'Agent_based_MPB']",0.7276,0.993,0.4095,0.9119,0.0039997100830078125,0
4,Stage 3,"['Input_Credentials', 'Authentication', 'Access_Server', 'Deploy_malware', 'Config_PB', 'Token_Impersonation', 'Connect_NRF', 'Connect_NEF']",0.8284,0.9747,0.9737,0.2413,0.00400090217590332,0
3,Stage 3,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Deploy_malware', 'Config_PB', 'Token_Impersonation', 'goal_node']",0.8327,0.9778,0.9215,0.034,0.003000020980834961,2
3,Stage 3,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_NEF', 'Connect_UPF']",0.9607,0.9559,0.9737,0.9392,0.0050008296966552734,0
2,Stage 1,"['Logon_PB', 'Bypass_Authentication', 'Access_Server']",0.972,0.993,0.9737,0.9119,0.003999948501586914,0
