attacker_capability,stage_name,node_seq,posture_value_goal_node,posture_value_exfiltrate,posture_value_Launch_Agent,posture_value_Token_Impersonation,prediction_time time,no_of_attacker_reach
1,Stage 1,['Logon_PB'],0.7264,0.882,0.874,0.8456,0.004000186920166016,0
1,Stage 1,['Logon_PB'],0.7206,0.8853,0.8767,0.8428,0.003989458084106445,0
1,Stage 1,['Logon_PB'],0.7338,0.8888,0.8713,0.8435,0.00400090217590332,0
1,Stage 1,['Logon_PB'],0.7257,0.8818,0.8756,0.8362,0.003997802734375,0
1,Stage 1,['Logon_PB'],0.7293,0.8839,0.8754,0.8414,0.004000663757324219,0
1,Stage 1,['Logon_PB'],0.7326,0.8901,0.8786,0.8355,0.003999233245849609,0
1,Stage 1,['Logon_PB'],0.7295,0.881,0.8802,0.8405,0.003999948501586914,0
1,Stage 1,['Logon_PB'],0.7395,0.8854,0.8804,0.8405,0.0039997100830078125,0
1,Stage 1,['Logon_PB'],0.7254,0.8794,0.879,0.8403,0.0039997100830078125,0
1,Stage 1,['Logon_PB'],0.7193,0.8814,0.8785,0.8289,0.003999948501586914,0
1,Stage 1,['Remote_access_PB'],0.7228,0.8866,0.8722,0.8363,0.003996849060058594,0
1,Stage 1,['Remote_access_PB'],0.7258,0.8928,0.8787,0.8361,0.005001068115234375,0
1,Stage 1,['Remote_access_PB'],0.7239,0.8761,0.8816,0.8345,0.003999233245849609,0
1,Stage 1,['Remote_access_PB'],0.7279,0.8824,0.8803,0.8481,0.004029512405395508,0
1,Stage 1,['Remote_access_PB'],0.7252,0.8817,0.879,0.8464,0.008001089096069336,0
1,Stage 1,['Remote_access_PB'],0.7286,0.8785,0.8745,0.844,0.003999233245849609,0
1,Stage 1,['Remote_access_PB'],0.7338,0.8876,0.8715,0.8444,0.003998994827270508,0
1,Stage 1,['Remote_access_PB'],0.7276,0.8828,0.8768,0.8419,0.0040018558502197266,0
1,Stage 1,['Remote_access_PB'],0.7246,0.882,0.871,0.839,0.00400090217590332,0
1,Stage 1,['Remote_access_PB'],0.7259,0.8854,0.8737,0.8317,0.004000186920166016,0
1,Stage 1,['SystemUseNotPB'],0.7282,0.887,0.8739,0.8331,0.004000425338745117,0
1,Stage 1,['SystemUseNotPB'],0.7197,0.8774,0.8741,0.8317,0.004999876022338867,0
1,Stage 1,['SystemUseNotPB'],0.7227,0.8846,0.8764,0.8353,0.004000186920166016,0
1,Stage 1,['SystemUseNotPB'],0.7208,0.8852,0.8712,0.8306,0.004001140594482422,0
1,Stage 1,['SystemUseNotPB'],0.7171,0.8856,0.8681,0.8249,0.003999233245849609,0
1,Stage 1,['SystemUseNotPB'],0.7209,0.8873,0.8807,0.8254,0.00399470329284668,0
1,Stage 1,['SystemUseNotPB'],0.7202,0.8836,0.8798,0.8309,0.003999233245849609,0
1,Stage 1,['SystemUseNotPB'],0.7217,0.8887,0.8691,0.8286,0.005998849868774414,0
1,Stage 1,['SystemUseNotPB'],0.7137,0.885,0.867,0.8268,0.0039997100830078125,0
1,Stage 1,['SystemUseNotPB'],0.7169,0.8834,0.8672,0.8329,0.004001140594482422,0
1,Stage 2,['Config_PB'],0.5094,0.883,0.8843,0.2024,0.003999233245849609,0
1,Stage 2,['Config_PB'],0.5165,0.8803,0.8872,0.1948,0.003999471664428711,0
1,Stage 2,['Config_PB'],0.5236,0.8842,0.8859,0.1964,0.004000186920166016,0
1,Stage 2,['Config_PB'],0.5355,0.8846,0.8821,0.1978,0.004999637603759766,0
1,Stage 2,['Config_PB'],0.5166,0.8773,0.8853,0.1959,0.003997325897216797,0
1,Stage 2,['Config_PB'],0.5227,0.8824,0.8865,0.1881,0.003999233245849609,0
1,Stage 2,['Config_PB'],0.5473,0.8829,0.8841,0.2002,0.0050008296966552734,0
1,Stage 2,['Config_PB'],0.5164,0.8843,0.8792,0.2012,0.003999948501586914,0
1,Stage 2,['Config_PB'],0.5255,0.8847,0.8867,0.2063,0.003998994827270508,0
1,Stage 2,['Config_PB'],0.5127,0.8832,0.8849,0.2009,0.003999233245849609,0
1,Stage 2,['Agent_based_MPB'],0.3623,0.8775,0.1955,0.8652,0.004000186920166016,0
1,Stage 2,['Agent_based_MPB'],0.3903,0.8812,0.2198,0.8747,0.004999876022338867,0
1,Stage 2,['Agent_based_MPB'],0.3821,0.8848,0.1856,0.8728,0.003999948501586914,0
1,Stage 2,['Agent_based_MPB'],0.3503,0.8822,0.1885,0.8716,0.003999471664428711,0
1,Stage 2,['Agent_based_MPB'],0.3817,0.8838,0.2101,0.8724,0.0039997100830078125,0
1,Stage 2,['Agent_based_MPB'],0.3643,0.8831,0.182,0.8766,0.004000425338745117,0
1,Stage 2,['Agent_based_MPB'],0.3845,0.8888,0.193,0.8696,0.003998756408691406,0
1,Stage 2,['Agent_based_MPB'],0.3768,0.8887,0.2007,0.8661,0.004000425338745117,0
1,Stage 2,['Agent_based_MPB'],0.3625,0.8852,0.1791,0.8718,0.003999471664428711,0
1,Stage 2,['Agent_based_MPB'],0.3806,0.885,0.1959,0.8732,0.005002021789550781,0
2,Stage 1,"['Logon_PB', 'Remote_access_PB']",0.7347,0.8846,0.8756,0.8565,0.003999948501586914,0
2,Stage 1,"['Logon_PB', 'Remote_access_PB']",0.7388,0.8822,0.8852,0.8545,0.004000425338745117,0
2,Stage 1,"['Logon_PB', 'Remote_access_PB']",0.7402,0.8879,0.8823,0.8504,0.004000186920166016,0
2,Stage 1,"['Logon_PB', 'Remote_access_PB']",0.7359,0.8867,0.8854,0.8538,0.003999471664428711,0
2,Stage 1,"['Logon_PB', 'Remote_access_PB']",0.7289,0.8844,0.8826,0.8511,0.003999471664428711,0
2,Stage 1,"['Logon_PB', 'Remote_access_PB']",0.7308,0.8849,0.8779,0.8548,0.007999420166015625,0
2,Stage 1,"['Logon_PB', 'Remote_access_PB']",0.7401,0.8807,0.8823,0.8576,0.003999471664428711,0
2,Stage 1,"['Logon_PB', 'Remote_access_PB']",0.7375,0.8864,0.8814,0.8567,0.004040718078613281,0
2,Stage 1,"['Logon_PB', 'Remote_access_PB']",0.7298,0.8879,0.8781,0.8584,0.0039997100830078125,0
2,Stage 1,"['Logon_PB', 'Remote_access_PB']",0.7329,0.8827,0.881,0.854,0.004999637603759766,0
2,Stage 1,"['Logon_PB', 'SystemUseNotPB']",0.7297,0.8818,0.8756,0.8514,0.003998756408691406,0
2,Stage 1,"['Logon_PB', 'SystemUseNotPB']",0.7352,0.889,0.879,0.8427,0.004002809524536133,0
2,Stage 1,"['Logon_PB', 'SystemUseNotPB']",0.7334,0.884,0.8815,0.8506,0.0040013790130615234,0
2,Stage 1,"['Logon_PB', 'SystemUseNotPB']",0.7222,0.8848,0.8767,0.8495,0.0039997100830078125,0
2,Stage 1,"['Logon_PB', 'SystemUseNotPB']",0.7305,0.8855,0.8855,0.8454,0.003999471664428711,0
2,Stage 1,"['Logon_PB', 'SystemUseNotPB']",0.7274,0.8804,0.8788,0.8412,0.0039997100830078125,0
2,Stage 1,"['Logon_PB', 'SystemUseNotPB']",0.7344,0.8867,0.8769,0.8403,0.0039997100830078125,0
2,Stage 1,"['Logon_PB', 'SystemUseNotPB']",0.7263,0.881,0.8776,0.8466,0.004000425338745117,0
2,Stage 1,"['Logon_PB', 'SystemUseNotPB']",0.7285,0.8849,0.8778,0.8522,0.003999471664428711,0
